Sample	Filename	Group	Replicate
GSM2978752_5.CEL	GSM2978752_5	IPF	1
GSM2978753_13.CEL	GSM2978753_13	IPF	2
GSM2978754_23.CEL	GSM2978754_23	IPF	3
GSM2978755_25.CEL	GSM2978755_25	IPF	4
GSM2978756_41.CEL	GSM2978756_41	IPF	5
GSM2978757_43.CEL	GSM2978757_43	IPF	6
GSM2978759_47.CEL	GSM2978759_47	IPF	7
GSM2978760_51.CEL	GSM2978760_51	IPF	8
GSM2978761_55.CEL	GSM2978761_55	IPF	9
GSM2978762_60.CEL	GSM2978762_60	IPF	10
GSM2978764_67.CEL	GSM2978764_67	IPF	11
GSM2978765_71.CEL	GSM2978765_71	IPF	12
GSM2978766_72.CEL	GSM2978766_72	IPF	13
GSM2978767_75.CEL	GSM2978767_75	IPF	14
GSM2978768_77.CEL	GSM2978768_77	IPF	15
GSM2978770_88.CEL	GSM2978770_88	IPF	16
GSM2978771_111.CEL	GSM2978771_111	IPF	17
GSM2978772_112.CEL	GSM2978772_112	IPF	18
GSM2978773_115.CEL	GSM2978773_115	IPF	19
GSM2978789_T14.CEL	GSM2978789_T14	Control	1
GSM2978790_T15.CEL	GSM2978790_T15	Control	2
GSM2978791_T16.CEL	GSM2978791_T16	Control	3
GSM2978792_T17.CEL	GSM2978792_T17	Control	4
GSM2978793_T18.CEL	GSM2978793_T18	Control	5
GSM2978794_T19.CEL	GSM2978794_T19	Control	6
GSM2978795_T20.CEL	GSM2978795_T20	Control	7
GSM2978796_T21.CEL	GSM2978796_T21	Control	8
GSM2978797_T22.CEL	GSM2978797_T22	Control	9
GSM2978798_T23.CEL	GSM2978798_T23	Control	10
GSM2978799_T24.CEL	GSM2978799_T24	Control	11
