PROBEID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B	Control.1	Control.2	Control.3	Control.4	Control.5	IPF.1	IPF.2	IPF.3	IPF.4	IPF.5	IPF.6	IPF.7	IPF.8	IPF.9	IPF.10	IPF.11	IPF.12	IPF.13	IPF.14	IPF.15	IPF.16	IPF.17
1405_i_at	CCL5	C-C motif chemokine ligand 5	1.50950193809774	8.31029577077125	4.10764861709707	0.00043813445973795	0.00982290245229032	-0.0843292466069183	6.50519963782851	6.56388877428993	7.1989545413782	7.94369480298739	7.50757451835825	7.46563286908121	8.73438984337049	8.58585223888546	9.56519866790966	7.59766275767266	8.60421549366187	8.23028430781108	7.83579353052312	7.36835320417824	7.97554265902239	8.77775258619619	9.42564166855153	9.00513568303757	9.98796890492601	9.41452180360951	9.11471722696122	9.41853123672708
1552330_at	CENPBD1	CENPB DNA-binding domain containing 1	0.890878319269666	6.23960171750965	4.3810217811267	0.000222392311977676	0.00647084914568213	0.563488104318006	5.55157056518504	5.9245882518264	6.2930437648338	4.29230404289429	5.69447209290317	6.39259350500954	6.09205259669038	6.38155114457756	6.41223604838048	6.39806262559673	6.66084886019716	6.51176464974553	6.34279177667748	5.85621089285432	6.694150572389	6.80474467279112	6.23482278918594	6.00471849011093	6.71489946038693	6.70779079998462	6.71641683461938	6.5896033483724
1552362_a_at	LEAP2	liver enriched antimicrobial peptide 2	-1.11931583982806	7.22661509800418	-5.30135281184545	2.29035806413681e-05	0.00156129259549674	2.7440363852874	8.45279376533809	7.76808620703899	7.79077435938171	8.12476768264916	8.32128285676681	6.17290287344351	7.0981424714596	7.53491367827044	7.27955216866042	6.92011517564491	7.1990610386536	7.52119341431031	7.50119624484923	6.98601377365211	6.81911845950939	6.37132985094921	6.4906953396943	7.75057085171535	6.87276382736115	7.02123948321257	6.58340023093325	6.40561840259781
1552509_a_at	CD300LG	CD300 molecule like family member g	-1.85166089184982	7.0377975150321	-4.24018043662975	0.00031544036918896	0.00810705318142863	0.229316090733479	7.67933124614449	9.43202400343403	8.42328013597585	10.0306896840637	6.77780686041676	6.12931163614407	5.86673929380233	7.68213288502475	5.59441744138775	8.25424694080843	5.94556198568124	5.73444697267997	6.26226100415682	5.71918727707898	7.37847117798111	7.01094027740542	6.55410242290636	6.55852090148126	7.6300025045241	6.56539474494179	6.55498416894715	7.04769176571981
1552582_at	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	-0.864531917154072	4.07456155394308	-4.38094558660658	0.000222434378689893	0.00647084914568213	0.563307150198859	4.1438792080192	4.02073949424841	5.28959796482799	5.05588821429403	5.20293984096653	3.77963108773717	3.3728716362463	4.08943965347334	3.59042845484694	3.65197707807903	4.41472671772754	4.57141506741882	3.5146696466297	4.23929837545966	4.26023390220551	3.79087289703192	3.64277265787615	3.63251054778099	3.83423714483471	3.7771862146375	3.72924371792562	4.03579466448077
1552670_a_at	PPP1R3B	protein phosphatase 1 regulatory subunit 3B	-0.877885690246559	6.59708244394787	-4.32603164944283	0.000254916783152398	0.00703981437896432	0.432933563024553	8.36557545537963	7.06295559554326	7.2030219870182	6.86534305815155	6.88034719959934	5.93876155562622	6.61161336438407	6.41973807524205	6.49742410846151	6.29111927532245	6.19865325698544	5.71192570406822	6.30903045156825	5.82361314966784	6.28415009202164	6.44931910290176	6.471730697561	7.04325323998307	6.50483633411324	6.70803976254132	6.81718485214612	6.67817744856699
1552715_a_at	RXFP1	relaxin family peptide receptor 1	-1.39065182883383	5.08930062118277	-3.3593740308287	0.00274042873965153	0.0312217810571494	-1.8215212106429	5.34699727270293	7.33011805193099	6.76467340341339	5.68389768394369	5.69378966896262	3.8596566249551	3.84978152170194	6.65255746189388	4.93279953958262	5.39782391060397	5.57838462290885	5.53225938872748	3.94868532654705	3.80062033117721	5.5085118580617	5.0412389854641	3.6901814791422	3.63435228751808	5.30756639323268	4.62678083606376	4.5812861609147	5.20265085657191
1552767_a_at	HS6ST2	heparan sulfate 6-O-sulfotransferase 2	2.91697315962107	6.72933773106792	6.11432742513817	3.23007388087153e-06	0.000484828600273823	4.62405754378309	4.01603197544695	4.8165681174198	5.97602679169953	3.34230495173818	4.22563324777195	8.18187499019134	7.89310094132602	4.86919503258832	7.3727307048902	8.0194289009903	7.21995118099377	8.44667124762324	7.81904070870609	8.908673936101	5.73639767083019	7.11896101472594	7.99901723918769	7.80258250468283	6.28689016780219	7.50276885360872	7.42923459718546	7.0623453079846
1552772_at	CLEC4D	C-type lectin domain family 4 member D	-2.07310172970688	5.72468692028517	-6.38924430555735	1.69171008633504e-06	0.000319320049398548	5.24347848503576	9.31899101902728	7.43018301126244	6.91314963732002	7.17297710445804	5.79784505777102	5.10504535567755	4.92558472448532	4.98062341379273	4.91166711174735	5.81617115563137	4.87852289247783	4.87455467602704	5.00832443075374	5.75074435166616	5.28888112854435	5.46907281898677	6.0519571848441	5.82523085420163	5.00829165354926	4.71711237085794	5.29658037043505	5.40160192275682
1552773_at	CLEC4D	C-type lectin domain family 4 member D	-2.4342620903843	5.73819147676272	-6.71464337171845	7.96000074162947e-07	0.000199673825621059	5.96411541699862	9.49434729833296	7.606272067304	7.53676685766658	7.44079877291672	6.01787591862359	4.66506658673881	4.86496400630461	4.87248439030076	4.82224242364126	5.7456057325259	4.84658264094671	4.74943470735193	4.81347131277878	5.97067440048185	5.28811541087749	4.97921599018589	6.54182446347719	6.10827823114745	4.68036340721777	4.64150362680716	5.18900531157336	5.36531893157911
1552797_s_at	PROM2	prominin 2	2.60561126997981	7.3638686694949	3.86707742801194	0.000793993131248408	0.014235375910812	-0.65044043585782	4.9717418089145	5.29096009645109	6.26173499055504	5.11157259326391	5.11619940609524	10.8815710646502	10.6964941770007	6.30288803353681	7.04816572481877	7.11911074359882	6.51667628393988	7.04514401743682	9.46383640233371	10.6638489067248	6.43512209735819	8.027098565819	7.77842940040148	8.27662347795878	7.19524288942861	8.10083741728979	7.28039629592832	6.42141633538335
1552798_a_at	TLR4	toll like receptor 4	-1.30194028522749	7.53333539582641	-5.91335226002429	5.21048398527352e-06	0.000662229356821663	4.16555001445057	9.65954486913252	8.09618800386981	9.12421252173157	7.94787538317858	7.8690800305076	6.65550975535657	6.72473713052968	7.29284057065322	7.10353514720099	7.584482453396	7.38681299334718	7.60766771812367	6.89446507243588	7.01208844660538	7.80278688946331	7.53671542703306	7.2292217950576	7.22932338105346	7.24119232960921	7.08290067528585	7.23115018731554	7.42104792729438
