Sample           Filename      Group          Replicate
GSM806204_LT000216.CEL    GSM806204_LT000216     IPF               1
GSM806205_LT001600.CEL    GSM806205_LT001600     IPF               2
GSM806207_LT002902.CEL    GSM806207_LT002902     IPF               3
GSM806208_LT004173.CEL    GSM806208_LT004173     IPF               4
GSM806209_LT006783.CEL    GSM806209_LT006783     IPF               5
GSM806210_LT006946.CEL    GSM806210_LT006946     IPF                   6
GSM806212_LT008069.CEL    GSM806212_LT008069     IPF                   7
GSM806214_LT009429.CEL    GSM806214_LT009429     IPF                   8
GSM806219_LT019699.CEL    GSM806219_LT019699     IPF                   9
GSM806220_LT020259.CEL    GSM806220_LT020259     IPF                   10
GSM806221_LT025724.CEL    GSM806221_LT025724     IPF                   11
GSM806222_LT026534.CEL    GSM806222_LT026534     IPF                   12
GSM806223_LT030385.CEL    GSM806223_LT030385     IPF                   13
GSM806225_LT033422.CEL    GSM806225_LT033422     IPF                   14
GSM806226_LT039091.CEL    GSM806226_LT039091     IPF                   15
GSM806227_LT041723.CEL    GSM806227_LT041723     IPF                   16
GSM806228_LT046539.CEL    GSM806228_LT046539     IPF                   17
GSM806229_LT047521.CEL    GSM806229_LT047521     IPF                   18
GSM806230_LT049193.CEL    GSM806230_LT049193     IPF                   19
GSM806231_LT056301.CEL    GSM806231_LT056301     IPF                   20
GSM806232_LT056464.CEL    GSM806232_LT056464     IPF                   21
GSM806234_LT059846.CEL    GSM806234_LT059846     IPF                   22
GSM806235_LT062141.CEL    GSM806235_LT062141     IPF                   23
GSM806236_LT062911.CEL    GSM806236_LT062911     IPF                   24
GSM806237_LT063974.CEL    GSM806237_LT063974     IPF                   25
GSM806238_LT067200.CEL    GSM806238_LT067200     IPF                   26
GSM806239_LT067836.CEL    GSM806239_LT067836     IPF                   27
GSM806240_LT069422.CEL    GSM806240_LT069422     IPF                   28
GSM806241_LT071706.CEL    GSM806241_LT071706     IPF                   29
GSM806242_LT072789.CEL    GSM806242_LT072789     IPF                   30
GSM806243_LT074868.CEL    GSM806243_LT074868     IPF                   31
GSM806244_LT077082.CEL    GSM806244_LT077082     IPF                   32
GSM806247_LT080836.CEL    GSM806247_LT080836     IPF                   33
GSM806250_LT087826.CEL    GSM806250_LT087826     IPF                   34
GSM806251_LT089958.CEL    GSM806251_LT089958     IPF                   35
GSM806252_LT090283.CEL    GSM806252_LT090283     IPF                   36
GSM806253_LT091552.CEL    GSM806253_LT091552     IPF                   37
GSM806254_LT092669.CEL    GSM806254_LT092669     IPF                   38
GSM806255_LT093665.CEL    GSM806255_LT093665     IPF                   39
GSM806257_LT095103.CEL    GSM806257_LT095103     IPF                   40
GSM806258_LT098394.CEL    GSM806258_LT098394     IPF                   41
GSM806259_LT099826.CEL    GSM806259_LT099826     IPF                   42
GSM806260_LT100434.CEL    GSM806260_LT100434     IPF                   43
GSM806261_LT101536.CEL    GSM806261_LT101536     IPF                   44
GSM806262_LT102695.CEL    GSM806262_LT102695     IPF                   45
GSM806263_LT103266.CEL    GSM806263_LT103266     IPF                   46
GSM806267_LT109321.CEL    GSM806267_LT109321     IPF                   47
GSM806268_LT112491.CEL    GSM806268_LT112491     IPF                   48
GSM806269_LT116459.CEL    GSM806269_LT116459     IPF                   49
GSM806273_LT119242.CEL    GSM806273_LT119242     IPF                   50
GSM806274_LT128191.CEL    GSM806274_LT128191     IPF                   51
GSM806275_LT128262.CEL    GSM806275_LT128262     IPF                   52
GSM806276_LT130861.CEL    GSM806276_LT130861     IPF                   53
GSM806277_LT134279.CEL    GSM806277_LT134279     IPF                   54
GSM806278_LT134302.CEL    GSM806278_LT134302     IPF                   55
GSM806279_LT134776.CEL    GSM806279_LT134776     IPF                   56
GSM806281_LT137431.CEL    GSM806281_LT137431     IPF                   57
GSM806285_LT144921.CEL    GSM806285_LT144921     IPF                   58
GSM806286_LT148511.CEL    GSM806286_LT148511     IPF                   59
GSM806287_LT150445.CEL    GSM806287_LT150445     IPF                   60
GSM806290_LT154952.CEL    GSM806290_LT154952     IPF                   61
GSM806291_LT156276.CEL    GSM806291_LT156276     IPF                   62
GSM806292_LT157253.CEL    GSM806292_LT157253     IPF                   63
GSM806293_LT157856.CEL    GSM806293_LT157856     IPF                   64
GSM806294_LT159457.CEL    GSM806294_LT159457     IPF                   65
GSM806297_LT163953.CEL    GSM806297_LT163953     IPF                   66
GSM806298_LT165736.CEL    GSM806298_LT165736     IPF                   67
GSM806299_LT166493.CEL    GSM806299_LT166493     IPF                   68
GSM806300_LT167906.CEL    GSM806300_LT167906     IPF                   69
GSM806301_LT168219.CEL    GSM806301_LT168219     IPF                   70
GSM806302_LT168352.CEL    GSM806302_LT168352     IPF                   71
GSM806305_LT173946.CEL    GSM806305_LT173946     IPF                   72
GSM806306_LT174813.CEL    GSM806306_LT174813     IPF                   73
GSM806307_LT175399.CEL    GSM806307_LT175399     IPF                   74
GSM806308_LT180758.CEL    GSM806308_LT180758     IPF                   75
GSM806309_LT182067.CEL    GSM806309_LT182067     IPF                   76
GSM806310_LT182636.CEL    GSM806310_LT182636     IPF                   77
GSM806313_LT185396.CEL    GSM806313_LT185396     IPF                   78
GSM806314_LT187987.CEL    GSM806314_LT187987     IPF                   79
GSM806315_LT188467.CEL    GSM806315_LT188467     IPF                   80
GSM806316_LT188524.CEL    GSM806316_LT188524     IPF                   81
GSM806318_LT194091.CEL    GSM806318_LT194091     IPF                   82
GSM806320_LT195192.CEL    GSM806320_LT195192     IPF                   83
GSM806321_LT196309.CEL    GSM806321_LT196309     IPF                   84
GSM806322_LT197286.CEL    GSM806322_LT197286     IPF                   85
GSM806324_LT201348.CEL    GSM806324_LT201348     IPF                   86
GSM806327_LT205601.CEL    GSM806327_LT205601     IPF                   87
GSM806329_LT206005.CEL    GSM806329_LT206005     IPF                   88
GSM806330_LT207236.CEL    GSM806330_LT207236     IPF                   89
GSM806332_LT211379.CEL    GSM806332_LT211379     IPF                   90
GSM806333_LT211455.CEL    GSM806333_LT211455     IPF                   91
GSM806335_LT217339.CEL    GSM806335_LT217339     IPF                   92
GSM806338_LT221381.CEL    GSM806338_LT221381     IPF                   93
GSM806339_LT228897.CEL    GSM806339_LT228897     IPF                   94
GSM806340_LT230142.CEL    GSM806340_LT230142     IPF                   95
GSM806342_LT231373.CEL    GSM806342_LT231373     IPF                   96
GSM806344_LT235441.CEL    GSM806344_LT235441     IPF                   97
GSM806346_LT242161.CEL    GSM806346_LT242161     IPF                   98
