PROBEID	SYMBOL	ENSEMBL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B	IPF.1	IPF.2	IPF.3	IPF.4	Control.1	Control.2	Control.3
TC01000503.hg.1	MFSD2A	ENSG00000168389	major facilitator superfamily domain containing 2A	-1.26673055836946	6.81012524862236	-4.86524043278075	0.00307406153796966	0.320535314275204	-1.19325711096234	6.74016847237611	5.88691451925487	6.45950131796174	5.98237858483477	7.84850828304805	7.2369428057311	7.51646275714986
TC01000580.hg.1	TSPAN1	ENSG00000117472	tetraspanin 1	0.909219153978858	7.04628769499207	4.11605885796917	0.00669891482010541	0.380282394807173	-1.91151997092289	7.35623610202304	7.73188732583715	7.72559316745119	6.93009559147782	6.34523243932123	6.6466034787781	6.58836576005599
TC01000703.hg.1	PATJ	ENSG00000132849	PATJ crumbs cell polarity complex component	-0.963364289713152	6.71989314653705	-4.53514545967347	0.00429026457305298	0.354513439855	-1.4973489899314	6.35214300358719	5.97066606875468	6.63296097741343	6.27232089688463	7.47116228392933	6.88259712892416	7.45740166626592
TC01000863.hg.1	FNBP1L	ENSG00000137942	formin binding protein 1 like	-0.826148933996961	7.79592494461763	-5.23016376187928	0.00216297725573917	0.305728016392511	-0.878808005816853	7.27031859450608	7.29851094906982	7.66921316791587	7.52940175155541	8.28847099099175	7.99554243497737	8.52001672330714
TC01000904.hg.1	VCAM1	ENSG00000162692	vascular cell adhesion molecule 1	1.8288306092853	7.1759152092364	3.94192336073189	0.00812363501417803	0.387981043517764	-2.09306896778045	7.22678145687431	9.07657901297506	7.42435960243289	8.11107895200958	6.24364421931019	6.19367063029664	5.95529259075615
TC01000973.hg.1	CHIAP2	ENSG00000203878	chitinase, acidic pseudogene 2	-1.53171155256982	4.63087110025491	-8.53880570008294	0.000168589935654356	0.241455914028082	1.14493712611047	3.88122229331129	4.05073002246067	3.94999743478814	4.01574341748269	5.07994300707406	5.84202436843275	5.59643715823472
TC01000999.hg.1	MAGI3	ENSG00000081026	membrane associated guanylate kinase, WW and PDZ domain containing 3	-0.917458739995634	7.48923884795959	-4.41237262123531	0.00487556359458919	0.354513439855	-1.61538035152568	7.04728103565582	6.88218278881474	7.38116976248036	7.07353539346635	8.18799423699357	7.56996200879239	8.2825467095139
TC01001024.hg.1	PTGFRN	ENSG00000134247	prostaglandin F2 receptor inhibitor	0.937065541043805	7.62494224740483	6.6867862523847	0.000621187813469384	0.252225615768465	0.174218646478635	8.31120751617802	8.10756938282258	7.75045575242305	7.93693440855648	7.19166034651998	7.09796172753325	6.97880659780047
TC01001025.hg.1	CD101	ENSG00000134256	CD101 molecule	-1.01273053869926	5.78862366962964	-5.77109101787649	0.00132429074148433	0.301541702407166	-0.452088826807739	5.17572028066107	5.24007207275058	5.72392154332641	5.27867128686745	6.09539192158588	6.56435060194073	6.44223798027531
TC01001484.hg.1	PRRX1	ENSG00000116132	paired related homeobox 1	1.04527852276948	6.97779119232002	3.80803563212472	0.00945162674407986	0.390137777223824	-2.23645249955606	7.34140602111227	8.05519651513462	7.29037232113127	7.01609595093531	6.48278563591289	6.59762173668631	6.06106016532745
