Sample                     Filename                  Group     Replicate
GSM806421_LT000216         GSM806421_LT000216.CEL    IPF                1
GSM806422_LT001600         GSM806422_LT001600.CEL    IPF                2
GSM806424_LT002902         GSM806424_LT002902.CEL    IPF                3
GSM806425_LT004173         GSM806425_LT004173.CEL    IPF                4
GSM806426_LT006783         GSM806426_LT006783.CEL    IPF                5
GSM806427_LT006946         GSM806427_LT006946.CEL    IPF                6
GSM806429_LT008069         GSM806429_LT008069.CEL    IPF                7
GSM806431_LT009429         GSM806431_LT009429.CEL    IPF                8
GSM806434_LT025724         GSM806434_LT025724.CEL    IPF               9
GSM806435_LT030385         GSM806435_LT030385.CEL    IPF               10
GSM806437_LT033422         GSM806437_LT033422.CEL    IPF               11
GSM806438_LT039091         GSM806438_LT039091.CEL    IPF               12
GSM806439_LT046539         GSM806439_LT046539.CEL    IPF               13
GSM806440_LT047521         GSM806440_LT047521.CEL    IPF               14
GSM806441_LT056301         GSM806441_LT056301.CEL    IPF               15
GSM806442_LT056464         GSM806442_LT056464.CEL    IPF               16
GSM806444_LT059846         GSM806444_LT059846.CEL    IPF               17
GSM806445_LT062796         GSM806445_LT062796.CEL    IPF               18
GSM806446_LT062911         GSM806446_LT062911.CEL    IPF               19
GSM806447_LT063974         GSM806447_LT063974.CEL    IPF               20
GSM806448_LT067200         GSM806448_LT067200.CEL    IPF               21
GSM806449_LT067836         GSM806449_LT067836.CEL    IPF               22
GSM806450_LT069422         GSM806450_LT069422.CEL    IPF               23
GSM806452_LT072789         GSM806452_LT072789.CEL    IPF               24
GSM806453_LT074868         GSM806453_LT074868.CEL    IPF               25
GSM806457_LT080836         GSM806457_LT080836.CEL    IPF               26
GSM806460_LT087826         GSM806460_LT087826.CEL    IPF               27
GSM806461_LT089958         GSM806461_LT089958.CEL    IPF               28
GSM806462_LT090283         GSM806462_LT090283.CEL    IPF               29
GSM806463_LT091552         GSM806463_LT091552.CEL    IPF               30
GSM806464_LT092669         GSM806464_LT092669.CEL    IPF               31
GSM806465_LT093665         GSM806465_LT093665.CEL    IPF               32
GSM806467_LT095103         GSM806467_LT095103.CEL    IPF               33
GSM806468_LT098394         GSM806468_LT098394.CEL    IPF               34
GSM806469_LT099826         GSM806469_LT099826.CEL    IPF               35
GSM806470_LT100434         GSM806470_LT100434.CEL    IPF               36
GSM806471_LT100821         GSM806471_LT100821.CEL    IPF               37
GSM806472_LT101536         GSM806472_LT101536.CEL    IPF               38
GSM806473_LT103266         GSM806473_LT103266.CEL    IPF               39
GSM806474_LT104717         GSM806474_LT104717.CEL    IPF               40
GSM806477_LT109321         GSM806477_LT109321.CEL    IPF               41
GSM806478_LT116459         GSM806478_LT116459.CEL    IPF               42
GSM806481_LT119242         GSM806481_LT119242.CEL    IPF               43
GSM806482_LT128191         GSM806482_LT128191.CEL    IPF               44
GSM806483_LT128262         GSM806483_LT128262.CEL    IPF               45
GSM806485_LT134302         GSM806485_LT134302.CEL    IPF               46
GSM806486_LT134776         GSM806486_LT134776.CEL    IPF               47
GSM806488_LT137431         GSM806488_LT137431.CEL    IPF               48
GSM806490_LT144921         GSM806490_LT144921.CEL    IPF               49
GSM806491_LT150445         GSM806491_LT150445.CEL    IPF               50
GSM806493_LT154952         GSM806493_LT154952.CEL    IPF               51
GSM806494_LT156276         GSM806494_LT156276.CEL    IPF               52
GSM806495_LT157253         GSM806495_LT157253.CEL    IPF               53
GSM806496_LT159457         GSM806496_LT159457.CEL    IPF               54
GSM806498_LT163953         GSM806498_LT163953.CEL    IPF               55
GSM806500_LT167906         GSM806500_LT167906.CEL    IPF               56
GSM806501_LT168219         GSM806501_LT168219.CEL    IPF               57
GSM806504_LT175399         GSM806504_LT175399.CEL    IPF               58
GSM806505_LT180758         GSM806505_LT180758.CEL    IPF               59
GSM806506_LT182067         GSM806506_LT182067.CEL    IPF               60
GSM806507_LT182636         GSM806507_LT182636.CEL    IPF               61
GSM806511_LT187987         GSM806511_LT187987.CEL    IPF               62
GSM806512_LT188467         GSM806512_LT188467.CEL    IPF               63
GSM806513_LT188524         GSM806513_LT188524.CEL    IPF               64
GSM806515_LT194091         GSM806515_LT194091.CEL    IPF               65
GSM806517_LT195192         GSM806517_LT195192.CEL    IPF               66
GSM806518_LT196309         GSM806518_LT196309.CEL    IPF               67
GSM806519_LT197286         GSM806519_LT197286.CEL    IPF               68
GSM806520_LT198096         GSM806520_LT198096.CEL    IPF               69
GSM806521_LT201348         GSM806521_LT201348.CEL    IPF               70
GSM806524_LT205601         GSM806524_LT205601.CEL    IPF               71
GSM806526_LT206005         GSM806526_LT206005.CEL    IPF               72
GSM806527_LT207236         GSM806527_LT207236.CEL    IPF               73
GSM806529_LT211379         GSM806529_LT211379.CEL    IPF               74
GSM806530_LT211455         GSM806530_LT211455.CEL    IPF               75
GSM806533_LT219681         GSM806533_LT219681.CEL    IPF               76
GSM806535_LT228897         GSM806535_LT228897.CEL    IPF               77
GSM806536_LT230142         GSM806536_LT230142.CEL    IPF               78
GSM806538_LT231373         GSM806538_LT231373.CEL    IPF               79
GSM806539_LT235441         GSM806539_LT235441.CEL    IPF               80
GSM806541_LT242161         GSM806541_LT242161.CEL    IPF               81
GSM806542_LT244824         GSM806542_LT244824.CEL    IPF               82
GSM806544_LT258372         GSM806544_LT258372.CEL    IPF               83
GSM806546_LT263234         GSM806546_LT263234.CEL    IPF               84
GSM806548_LT264690         GSM806548_LT264690.CEL    IPF               85
GSM806549_LT266377         GSM806549_LT266377.CEL    IPF               86
GSM806550_LT266817         GSM806550_LT266817.CEL    IPF               87
GSM806551_LT269381         GSM806551_LT269381.CEL    IPF               88
GSM806552_LT269763         GSM806552_LT269763.CEL    IPF               89
GSM806554_LT275751         GSM806554_LT275751.CEL    IPF               90
GSM806555_LT280851         GSM806555_LT280851.CEL    IPF               91
GSM806556_LT282601         GSM806556_LT282601.CEL    IPF               92
GSM806557_LT284326         GSM806557_LT284326.CEL    IPF               93
GSM806558_LT284489         GSM806558_LT284489.CEL    IPF               94
GSM806562_LT298606         GSM806562_LT298606.CEL    IPF              95
GSM806563_NJ004803         GSM806563_NJ004803.CEL    Control            1
GSM806564_NJ004804         GSM806564_NJ004804.CEL    Control            2
GSM806565_NJ004808         GSM806565_NJ004808.CEL    Control            3
GSM806566_NJ004818         GSM806566_NJ004818.CEL    Control            4
GSM806567_NJ004819         GSM806567_NJ004819.CEL    Control            5
GSM806568_NJ004824         GSM806568_NJ004824.CEL    Control            6
GSM806569_NJ004827         GSM806569_NJ004827.CEL    Control            7
GSM806570_NJ004830         GSM806570_NJ004830.CEL    Control            8
GSM806571_NJ004840         GSM806571_NJ004840.CEL    Control            9
GSM806573_NJ004851         GSM806573_NJ004851.CEL    Control           10
GSM806574_NJ004860         GSM806574_NJ004860.CEL    Control           11
GSM806575_NJ004863         GSM806575_NJ004863.CEL    Control           12
GSM806576_NJ020000         GSM806576_NJ020000.CEL    Control           13
GSM806577_NJ020001         GSM806577_NJ020001.CEL    Control           14
GSM806578_NJ020002         GSM806578_NJ020002.CEL    Control           15
GSM806579_NJ020003         GSM806579_NJ020003.CEL    Control           16
GSM806580_NJ020005         GSM806580_NJ020005.CEL    Control           17
GSM806581_NJ020006         GSM806581_NJ020006.CEL    Control           18
GSM806582_NJ020007         GSM806582_NJ020007.CEL    Control           19
GSM806583_NJ020011         GSM806583_NJ020011.CEL    Control           20
GSM806584_NJ020012         GSM806584_NJ020012.CEL    Control           21
GSM806585_NJ020015         GSM806585_NJ020015.CEL    Control           22
GSM806586_NJ020016         GSM806586_NJ020016.CEL    Control           23
GSM806587_NJ020022         GSM806587_NJ020022.CEL    Control           24
GSM806588_NJ020025         GSM806588_NJ020025.CEL    Control           25
GSM806589_NJ020026         GSM806589_NJ020026.CEL    Control           26
GSM806590_NJ020027         GSM806590_NJ020027.CEL    Control           27
GSM806591_NJ020028         GSM806591_NJ020028.CEL    Control           28
GSM806592_NJ020032         GSM806592_NJ020032.CEL    Control           29
