SampleName	Group
ipf_724	IPF
ipf_726	IPF
ipf_729	IPF
ipf_730	IPF
ipf_731	IPF
ipf_732	IPF
ipf_733	IPF
ipf_735	IPF
control_738	Control
ipf_739	IPF
control_256	Control
control_740	Control
control_257	Control
control_258	Control
ipf_742	IPF
ipf_1176	IPF
ipf_261	IPF
control_744	Control
control_263	Control
ipf_1181	IPF
ipf_403	IPF
control_264	Control
ipf_747	IPF
ipf_1172	IPF
control_750	Control
ipf_751	IPF
ipf_244	IPF
ipf_755	IPF
ipf_756	IPF
ipf_757	IPF
control_267	Control
ipf_762	IPF
ipf_763	IPF
control_269	Control
ipf_765	IPF
control_766	Control
ipf_270	IPF
control_768	Control
control_772	Control
ipf_328	IPF
control_273	Control
ipf_774	IPF
control_279	Control
control_280	Control
control_281	Control
control_330	Control
ipf_282	IPF
ipf_779	IPF
ipf_780	IPF
control_283	Control
ipf_285	IPF
control_286	Control
ipf_782	IPF
control_331	Control
control_784	Control
ipf_785	IPF
control_288	Control
ipf_787	IPF
control_788	Control
control_289	Control
control_332	Control
control_291	Control
control_792	Control
control_292	Control
control_293	Control
control_794	Control
control_796	Control
control_294	Control
ipf_798	IPF
ipf_799	IPF
control_295	Control
control_296	Control
control_298	Control
control_299	Control
control_300	Control
ipf_301	IPF
ipf_809	IPF
ipf_812	IPF
ipf_813	IPF
ipf_410	IPF
ipf_H03	IPF
ipf_336	IPF
control_337	Control
control_823	Control
control_825	Control
ipf_826	IPF
control_306	Control
ipf_307	IPF
ipf_827	IPF
ipf_309	IPF
control_828	Control
ipf_829	IPF
control_339	Control
control_834	Control
control_836	Control
control_315	Control
control_340	Control
ipf_318	IPF
control_842	Control
control_319	Control
ipf_341	IPF
ipf_845	IPF
control_324	Control
control_849	Control
control_851	Control
ipf_852	IPF
ipf_853	IPF
control_327	Control
control_342	Control
control_854	Control
ipf_856	IPF
ipf_877	IPF
control_878	Control
ipf_887	IPF
ipf_888	IPF
ipf_894	IPF
ipf_899	IPF
control_900	Control
control_912	Control
ipf_914	IPF
ipf_916	IPF
ipf_917	IPF
control_919	Control
control_920	Control
control_923	Control
ipf_924	IPF
ipf_926	IPF
control_927	Control
control_929	Control
control_932	Control
control_933	Control
ipf_938	IPF
ipf_940	IPF
control_947	Control
control_951	Control
ipf_954	IPF
control_955	Control
control_956	Control
control_961	Control
control_964	Control
control_574	Control
control_576	Control
ipf_965	IPF
control_646	Control
control_657	Control
control_661	Control
control_666	Control
control_671	Control
control_687	Control
control_691	Control
control_695	Control
control_698	Control
control_699	Control
control_703	Control
control_973	Control
control_709	Control
control_710	Control
control_714	Control
control_975	Control
control_978	Control
control_980	Control
control_982	Control
ipf_1164	IPF
ipf_1168	IPF
ipf_1169	IPF
ipf_1170	IPF
ipf_990	IPF
ipf_992	IPF
ipf_994	IPF
ipf_997	IPF
ipf_998	IPF
ipf_1017	IPF
ipf_1022	IPF
ipf_1024	IPF
ipf_1029	IPF
ipf_1030	IPF
ipf_1031	IPF
ipf_1034	IPF
ipf_1036	IPF
ipf_1038	IPF
ipf_1041	IPF
ipf_1042	IPF
ipf_1043	IPF
ipf_1048	IPF
ipf_1049	IPF
ipf_1053	IPF
ipf_1056	IPF
ipf_1057	IPF
ipf_1060	IPF
ipf_1061	IPF
ipf_1063	IPF
ipf_1067	IPF
ipf_1071	IPF
ipf_1074	IPF
ipf_1084	IPF
control_1089	Control
control_1092	Control
control_1096	Control
control_1097	Control
control_1102	Control
control_1109	Control
control_1111	Control
control_1112	Control
control_1113	Control
ipf_1125	IPF
ipf_1130	IPF
