baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	1145.10774494423	0.791409775248665	0.0880981930756914	8.98326909575442	2.62838690502814e-19	5.28852994094767e-18
TNMD	2.51883484410697	0.48470020293381	0.475737234682602	1.01884016553211	0.30827885374673	0.419005842751877
DPM1	2073.13229723949	0.0854198621384109	0.0429175420550124	1.9903251222756	0.0465551323283561	0.0850486119675317
SCYL3	211.1615298138	-0.0124972191132999	0.0506773614574908	-0.246603586964226	0.805215028275891	0.880201061208576
C1orf112	111.624358477446	0.131758352440375	0.0470660652361959	2.79943419487396	0.00511922496553333	0.0119849107640426
FGR	3398.86045806792	-0.708203023906028	0.0997223222860837	-7.10175021671009	1.23186730184029e-12	1.17408221328181e-11
CFH	5842.41063200757	1.26179740659217	0.0775724943042195	16.2660414353021	1.71918975346916e-59	1.39418814268291e-56
FUCA2	1773.52767106137	0.0638278092414421	0.047804524806873	1.33518342665892	0.181816319801386	0.273046537595447
GCLC	880.347335246359	0.84177535386127	0.0870374467370476	9.67141598724044	3.98821216759711e-22	1.04185060714315e-20
NFYA	606.799537223722	-0.198714797901911	0.0481477898328479	-4.12718420911486	3.67232218467337e-05	0.000127886768835937
STPG1	184.355077728921	0.3145470821372	0.10066448909545	3.12470748089672	0.00177981954300498	0.00459349579578372
NIPAL3	672.043147843906	-0.232358465373714	0.0439843386520266	-5.28275455525141	1.27255833434703e-07	6.35836004614007e-07
LAS1L	1055.807007329	-0.0186573853067472	0.0282791537307245	-0.65975755443051	0.509409425804896	0.627229683298957
SEMA3F	1101.97127169861	-0.547754079675531	0.0885208267439078	-6.18785544400971	6.09882155579108e-10	4.12455473744073e-09
CFTR	475.185521352219	-0.306592220772114	0.091213506362762	-3.36125901741763	0.000775880282790227	0.00215513313992603
ANKIB1	168.013024631008	-0.197135748391281	0.105903961544114	-1.8614577350741	0.0626795638767667	0.109877746750888
CYP51A1	102.874371681509	-0.682922307683037	0.136346949545854	-5.00870983881726	5.47961110560173e-07	2.51862263040127e-06
KRIT1	1043.84336121255	-0.0996602439055267	0.0367602293282405	-2.71108874255483	0.00670626751321009	0.0152729306051764
RAD52	544.292115301998	0.0965597354414632	0.0868921392680204	1.11125973252452	0.266456566670918	0.372923229650031
BAD	3730.95539634518	-0.0656928921977927	0.0511177839908479	-1.28512793531023	0.198747581115987	0.293813100021827
LAP3	5072.82606316688	-0.134610424888456	0.0687042067523242	-1.95927485741478	0.0500806065834697	0.0905402223509622
CD99	1898.74920526419	0.0713350491900264	0.0706993192183056	1.00899202395086	0.312978459403776	0.424489917466385
HS3ST1	83.4689393996805	1.20122145564316	0.172891565161319	6.94783146027015	3.70943774234859e-12	3.31679926990824e-11
AOC1	47.3940206498358	1.48427896793549	0.119323517830227	12.4391150623578	1.60269665134725e-35	1.43031090626454e-33
WNT16	2.92127844432178	0.453766105624902	0.277270136202692	1.63654878898745	0.101724783464462	0.166741590199423
HECW1	15.2689280859596	1.02039928755007	0.14807761069464	6.89097617636675	5.54108189758848e-12	4.86821759556384e-11
MAD1L1	975.158170283539	-0.197361486793299	0.0667997056955951	-2.95452629226649	0.0031314946905392	0.00767121604517167
LASP1	638.85040767116	0.0147146075175698	0.070803019995127	0.207824574694449	0.835365943696134	0.902632695042306
SNX11	974.541821273206	-0.144940125284883	0.0313725468649935	-4.61996681074724	3.83801433376369e-06	1.56064188692741e-05
TMEM176A	1337.84312226161	0.657136536262858	0.0946500798399504	6.94279959799347	3.84404560728206e-12	3.42566357701983e-11
M6PR	4044.45827749196	-0.0546045344819971	0.0414155959006279	-1.31845343027333	0.187351904756457	0.279782844476976
KLHL13	152.486904258226	1.50723690423692	0.125415002943048	12.0179952068523	2.85822118997949e-33	2.034791665477e-31
CYP26B1	182.576806512125	-0.147724984086335	0.15041964717492	-0.982085697319508	0.326057631079459	0.438821483144099
ICA1	908.512806189681	0.0460169817162319	0.0470849181437267	0.977318927809645	0.328411285334529	0.44128861710681
DBNDD1	222.448065022772	0.20406987788116	0.0781198705078274	2.61226595173008	0.00899442545547294	0.0198537306030155
ALS2	199.091647414544	-0.112549189319869	0.0569750329993268	-1.97541244638154	0.0482213614921726	0.0876461542147733
CASP10	707.385866873988	0.0353817107639758	0.0408357259189036	0.866440107719426	0.386248857301206	0.503586864698874
CFLAR	6236.0900423197	-0.488052350268528	0.0747332281732517	-6.53059371578451	6.55094818014035e-11	5.0407708521443e-10
TFPI	3063.44311052808	-0.729460635369736	0.0726351987539855	-10.042798090777	9.88301809074299e-24	2.94940885485661e-22
NDUFAF7	342.589117117465	0.0142097189083957	0.0625770342168182	0.227075621052312	0.820364940497226	0.891381036359913
RBM5	5379.21538117327	0.0374981490139602	0.0525757467047875	0.7132214255465	0.475708750193528	0.593690238937512
MTMR7	19.4852098096003	-0.188846118188013	0.128725476212134	-1.46704540348176	0.142363704562343	0.222318136093169
SLC7A2	513.16732994399	0.424733188804507	0.10301898115553	4.12286341837605	3.74191589996003e-05	0.00013009470598066
ARF5	783.552902658161	-0.11774227015348	0.0529688093106173	-2.22286042835173	0.0262252128377433	0.0515874994568222
SARM1	314.973765280893	0.0316469120462693	0.0518922338561276	0.609858348630955	0.541955645645583	0.657511082409504
POLDIP2	9.66325000957613	-1.10308112612257	0.528544331331358	-2.08701722965036	0.0368865771151326	0.069573105101775
PLXND1	8356.02876293679	-0.333804871491091	0.0618484893951548	-5.39713863273824	6.77120686203554e-08	3.51703008606758e-07
AK2	5180.55738599759	0.069533454740141	0.0360127062064192	1.93080337649679	0.0535073726521575	0.0958160056363327
CD38	156.287618751884	1.44855994585184	0.15041315726963	9.63054012126849	5.94163375693087e-22	1.53494948523926e-20
FKBP4	398.198684414638	-0.21466190029239	0.140824613078308	-1.52432089533258	0.12742856990822	0.202591006301408
KDM1A	1783.21941196971	0.0476045856227716	0.0262305376681966	1.81485359640531	0.0695464113056174	0.120276278504624
RBM6	3560.90685384386	0.207493720475526	0.0694002109501151	2.98981397368767	0.00279147395535173	0.00692466713861159
CAMKK1	310.345820888066	-0.0537677935743672	0.0638320599457414	-0.842332107409207	0.399602083870563	0.517221385988242
RECQL	340.199352486645	-0.121583789218756	0.102244395838089	-1.18914868851386	0.234381161864114	0.335560134409691
VPS50	174.586774399755	-0.0830267537776225	0.0631700678912768	-1.31433694072518	0.188732841089592	0.28141697593757
HSPB6	10.0183653557238	0.126675690214934	0.230038537928933	0.550671602051603	0.581858815084132	0.693029359336691
ARHGAP33	734.426051646369	0.204384140718225	0.0981096611490156	2.08322134970777	0.0372310519236413	0.070102319854609
NDUFAB1	177.830158998933	0.249648972423656	0.0764358314672666	3.26612490021211	0.00109030147988842	0.00293199296465958
PDK4	635.538131639225	-0.172728637214508	0.209785012535287	-0.823360234971285	0.410303169152215	0.52844736300422
SLC22A16	72.6088033028832	0.329521250405552	0.0956960324584203	3.44341601151258	0.000574414978595766	0.0016309922637796
ZMYND10	3028.14851270048	1.65233844013478	0.233004589190246	7.091441614421	1.32722072594464e-12	1.25917197254931e-11
ABCB5	13.4973425199983	0.59826349746123	0.144181012801762	4.14939169753093	3.33359961399243e-05	0.00011698645343403
ARX	115.70710438229	1.28780989908868	0.530201252088456	2.42890769121351	0.0151443876005563	0.031670940410985
SLC25A13	630.577482389583	0.00933729276392707	0.0391563525551578	0.238461760471026	0.81152297068108	0.885125223621046
ST7	1344.12524901315	-0.461110653433959	0.0489020317497675	-9.42927393678591	4.12937399184251e-21	9.89988222311651e-20
CDC27	815.042281828651	-0.0532536416954429	0.0556840745393388	-0.95635317882173	0.338893831259314	0.452570182619655
SLC4A1	26.5726950170358	-0.587397265981582	0.108515500567346	-5.41302636868025	6.19683605793962e-08	3.23039089303213e-07
CALCR	2.69315729593364	-1.77514000197457	0.318259043491047	-5.57765769199426	2.43778764276976e-08	1.33302888047322e-07
HCCS	321.776269889969	0.0230870180552778	0.042894834485652	0.538223735610875	0.590422595335905	0.70090136508435
DVL2	393.382158738516	0.124231814343872	0.0651526685470227	1.9067801383179	0.0565490643691618	0.100529274553336
PRSS22	929.967046425739	0.982967484432574	0.126189899361055	7.78958925722022	6.72273775399698e-15	8.37066118742e-14
UPF1	1777.49768187635	0.0388065644310173	0.0330314090795884	1.17483829822439	0.240059414742789	0.342009486998358
SKAP2	45.6527622654412	-0.631500577457492	0.145327125960313	-4.34537305602498	1.39039161607236e-05	5.17326639197718e-05
SLC25A5	654.580206438067	0.0121806619223511	0.099057396198168	0.122965698573212	0.902134260354722	0.949904494983418
MCUB	154.172017036444	0.322739688204709	0.0812350004957878	3.97291421474717	7.09986242200263e-05	0.000234757372620445
HOXA11	0.730149377629188	0.311175593147298	0.371317494468373	0.838031059088175	0.40201326003341	0.519636266537988
POLR2J	2924.29829622188	-0.0147761898153447	0.0470520626100645	-0.314039151435288	0.75349130326637	0.839102023316278
DHX33	40.2839932314337	-0.0242470686652184	0.131025225322349	-0.185056492790344	0.85318472585854	0.91536390605197
MEOX1	115.114120217157	2.56370438408214	0.219488779771614	11.6803436911434	1.60644667807841e-31	9.42246649041464e-30
THSD7A	28.084677052635	0.434510122769579	0.142677811555599	3.04539380042467	0.00232375828195314	0.00586425916317007
LIG3	563.001462584306	0.0779987512299243	0.0465149456185836	1.67685354013963	0.0935711251121906	0.155178147558689
RPAP3	539.886896928907	0.348115804386117	0.0486994842742005	7.14824416673623	8.78948724447639e-13	8.55198310297202e-12
ACSM3	679.067660656208	-0.466644314161325	0.091646178171707	-5.09180331870498	3.54673916191247e-07	1.66760218926119e-06
REXO5	103.026019509744	0.353641597960139	0.0709589199435289	4.98375113715904	6.23632795518954e-07	2.84400951149622e-06
CIAPIN1	1033.54997133491	0.0352543813482118	0.0376591467646583	0.936143921914256	0.3491990915183	0.463539875641791
SPPL2B	1574.00558758846	0.386566835304289	0.0808157670910131	4.78330960923684	1.72432215036875e-06	7.38339227471943e-06
FAM214B	1117.7022197717	-0.20898575567675	0.0519647565860902	-4.0216825673093	5.77838956445421e-05	0.000194125580252522
COPZ2	661.202822924776	0.407888107971315	0.0995405408019825	4.09770837776272	4.17260494129397e-05	0.000143858460933484
PRKAR2B	4.63443593865622	-1.19322071610529	0.504023627436382	-2.36739043797286	0.0179140231843009	0.0368555438378095
MSL3	175.114775591006	-0.0456152824164099	0.103846589778374	-0.439256431181424	0.660475739792382	0.762420689355583
CREBBP	1488.4028694997	-0.16144445704524	0.0646632875655542	-2.496694231353	0.0125356996513549	0.0267922390165087
TSPOAP1	1068.55669648446	0.248371032129566	0.0913270431450554	2.71957816191505	0.00653652446839407	0.0149389736279318
MPO	87.8338675503624	-2.1734895316233	0.204957186364344	-10.6046026986318	2.83667054627175e-26	1.06457905491068e-24
PON1	40.2538721285405	-0.477867530193169	0.141712292461164	-3.37209653371551	0.000745982966370329	0.00207952089205491
GCFC2	775.153126088778	0.0600579661502056	0.0401822860258874	1.4946378638466	0.135008978745022	0.212397728707165
WDR54	1564.16728198107	0.900673097424091	0.121015268823664	7.44264014102632	9.8692669583483e-14	1.06652124743402e-12
CROT	485.569283277557	0.608850028977293	0.0622671382920174	9.77803132885179	1.39905269524558e-22	3.74392121545489e-21
ABCB4	24.6171072151621	1.07955854756041	0.157645441654478	6.84801625870381	7.48810569302902e-12	6.44820625052527e-11
KMT2E	1490.57142362446	-0.260101779307204	0.0494672466341602	-5.25806057553217	1.45582569348254e-07	7.23144096799902e-07
RHBDD2	3699.38668669484	-0.0691584025655517	0.0484444726983025	-1.42758087173844	0.153412532543274	0.236639973287889
SOX8	10.0931707623023	0.631125376516798	0.159809918206276	3.94922532719258	7.84045211600203e-05	0.000257601044332693
IBTK	453.06483678632	0.18956343881104	0.0490264791473978	3.86655215931618	0.000110384863767752	0.000354432514890017
ZNF195	779.028354281584	0.0478744245557402	0.054679986939913	0.875538331937581	0.381281062906171	0.498573638903948
MYCBP2	1523.76417849408	0.0616336018272139	0.0417979479660243	1.47456047070332	0.140330748925323	0.219566238482939
FBXL3	166.745107218321	-0.267461247738524	0.0517465879240856	-5.1686740801326	2.3576062675724e-07	1.132768472508e-06
ITGAL	1353.61226555669	-0.596161756674524	0.101572843723822	-5.86930260902703	4.37632036282245e-09	2.62466647612104e-08
PDK2	1021.51770403708	-0.191053047344692	0.0730886648895387	-2.6139901123305	0.00894916263678364	0.0197772252963612
ITGA3	2668.40505442233	-0.442739653689405	0.0782680950759324	-5.65670664732388	1.54305166450382e-08	8.62481260003751e-08
ZFX	485.746663881888	-0.255235486428987	0.0636581312776597	-4.00947186645676	6.08547026085675e-05	0.000203635075897919
LAMP2	3826.70436812163	-0.0721261706056017	0.0565897565326284	-1.27454463537081	0.202470464411229	0.298252969688694
ITGA2B	117.561324108264	-1.16400610938053	0.151922209477148	-7.66185611298408	1.83264899005104e-14	2.15662895662031e-13
ASB4	34.8754306132997	-0.129026114492274	0.172437944341771	-0.748246651772565	0.454311396406651	0.572632529110478
GDE1	856.2278271353	0.102625229088659	0.0622114341539151	1.64962004950339	0.0990206716475566	0.162840335638189
REX1BD	2169.71840353978	0.0883072787300127	0.0574441300904472	1.53727245222394	0.124226604497335	0.198430643751331
CRLF1	1674.20543355098	1.85809131192605	0.164927957866454	11.266078450026	1.92974716427382e-29	9.64977053834726e-28
AC003665.1	392.702137685815	0.362307561938999	0.106015161824227	3.41750704054676	0.000631974594865132	0.0017811408497166
TMEM98	3256.02285884085	0.433443875459946	0.0560072338496421	7.73906950347835	1.00147027254026e-14	1.22087735447195e-13
YBX2	16.7370390147843	0.748683567161252	0.157478147016892	4.75420609997999	1.99227723376914e-06	8.45890165359937e-06
KRT33A	0.080101849383644	0.228195523546244	1.47626693632288	0.154576057982195	0.877155546065438	0.932372239785353
MAP3K14	269.338076678565	0.094322258244353	0.0869046120119313	1.08535388468685	0.277764948667867	0.385739842346292
ABCC8	207.082421861657	-0.640646070693909	0.231026084943722	-2.7730464758989	0.00555341887849602	0.01288980903932
CACNG3	0.939609638513173	0.0614302894236911	0.245849242350863	0.249869752846426	0.802688075116959	0.878460396368909
TMEM132A	743.906473004899	0.384729743432782	0.0855626327985082	4.4964692044807	6.90911810010466e-06	2.70676057137475e-05
AP2B1	2703.98560697134	-0.0928174206251241	0.0338687296304918	-2.74050493295034	0.00613448611272033	0.0141050832069107
TAC1	23.4884449081791	1.19534478537581	0.3561431306492	3.35636063847942	0.000789755118192559	0.00218801485560347
ZNF263	773.719732717346	-0.129136265847533	0.0443016826580707	-2.91492914262948	0.00355769307189223	0.00862353361623572
CX3CL1	85.4888520390907	-0.680761386727475	0.172039550336914	-3.95700515023612	7.58952951031486e-05	0.000249708774786369
SPATA20	1618.20746891727	0.369845788206034	0.0534331943959309	6.92164846940535	4.46417922485721e-12	3.95562332076184e-11
CACNA1G	25.4133005140965	1.56218097620501	0.133346417934999	11.7152076553456	1.06529902079231e-31	6.3482291807726e-30
TNFRSF12A	6850.5532636358	0.275491046584146	0.158003451818131	1.74357612706619	0.0812330291005769	0.137554104292688
DLX6	0.550724664544563	1.55056900224163	0.714675587455381	2.16961238002051	0.0300362227297688	0.0579714017338211
MAP3K9	97.5092933229523	0.0657163575000123	0.0914793705103868	0.718373521083103	0.472527008882991	0.590490360285935
RALA	156.001715750699	-0.424836563982033	0.126405002400004	-3.3609157542488	0.000776845166106556	0.00215717076644625
BAIAP2L1	108.837745914418	-0.419599296082852	0.0872683561333402	-4.80814942178734	1.52333889169433e-06	6.58783144166073e-06
KDM7A	250.672794983431	-0.169867104285914	0.0563190232688676	-3.01615856288853	0.00255999350599122	0.00640913597169914
ETV1	909.034738693998	-0.746294422597344	0.0907234914748321	-8.22603286607831	1.93515937354819e-16	2.90382885240714e-15
AGK	662.456036239268	-0.00358005806368316	0.0262413230224749	-0.136428260900449	0.89148273357367	0.942947484780316
ALDH3B1	517.702158381068	-0.00245393226520303	0.115043583662516	-0.0213304574412575	0.982982047837722	0.991218862505338
TTC22	32.048889046465	0.216518093000692	0.109098272689714	1.98461522499528	0.0471872971300621	0.0860327162095725
PHTF2	487.830551824031	0.245503852798503	0.058672405328835	4.18431546180106	2.86026687308411e-05	0.000101483160960176
CCL26	65.7446254170537	-1.03171520303315	0.19131881398679	-5.39264895873956	6.94265032587459e-08	3.60106545823729e-07
FARP2	528.864356871383	0.0303169432143798	0.0530273356381916	0.571722920820196	0.567509703607986	0.680151062886086
USH1C	61.2875553472864	2.20857981849166	0.236470684929473	9.33976158249959	9.65512842307932e-21	2.23989372322482e-19
GGCT	695.231200583429	0.454876361417372	0.0731066675073546	6.22209132117274	4.90571340241699e-10	3.36278450503057e-09
DBF4	221.203370906497	0.315111807930839	0.0589824217290769	5.34246981885955	9.1688641038037e-08	4.6828492131475e-07
TBXA2R	147.535659686281	-0.251115703235246	0.100009758584955	-2.51091200287151	0.0120419710492174	0.025849561976062
IFRD1	782.8822860022	-0.357428872368961	0.110607699472486	-3.23150082746159	0.00123141967394869	0.00327465636705032
LGALS14	14.7855371259831	-0.0230545832813065	0.11364960403557	-0.202856696923387	0.8392470413539	0.904915912474052
COX10	49.5988297747954	0.135361861419861	0.100335867305932	1.34908747045692	0.177308872253353	0.26718089233071
GTF2IRD1	554.476730241596	-0.032546217936176	0.0709679130089432	-0.458604692688013	0.646518066148824	0.7503954554952
PAF1	166.619992792891	-0.221445976884066	0.101664201171219	-2.17820997295907	0.0293904079310627	0.0569276388026668
VPS41	860.839266568434	0.0287941501754614	0.0564894067141111	0.509726546097158	0.610243052514773	0.718440536230862
ARHGAP44	677.539038592627	-0.570164130005913	0.0635744868571212	-8.96844250252957	3.00736667588684e-19	5.9992944640258e-18
ELAC2	933.176310234034	0.162385890633218	0.0397644511534016	4.08369500704971	4.43251992789451e-05	0.000152284696435971
SCIN	207.624728198307	-0.127908772813937	0.0996896433346041	-1.28306982085006	0.199467615761467	0.294737381698715
ARSD	179.687085703769	-0.0495217426673442	0.0725689311105719	-0.682409702189065	0.494979922531145	0.612672739733952
PNPLA4	392.652741844543	0.0451802713955294	0.0726410944057168	0.621965731176729	0.533964401740902	0.649898929659449
MYH13	1.43681489674021	0.190025881057049	0.196597410887458	0.966573670524223	0.333757202117886	0.446894424544351
ADIPOR2	116.388922806602	-0.57745875504981	0.099566456617735	-5.79973190435856	6.64210241932975e-09	3.8934159121728e-08
CDKL3	212.217254849367	0.0710664076156137	0.0549857116447399	1.29245226604996	0.196200566467806	0.290762193370214
UPP2	4.05732246267332	0.76846360044715	0.16796197311377	4.57522370213303	4.75711405135159e-06	1.90727355851941e-05
PRSS21	346.42956736552	-1.05895962071407	0.191220473273881	-5.53789875416398	3.06122131883601e-08	1.65741364409083e-07
MARK4	307.525224925584	0.0913880846130949	0.0522609558027912	1.74868758539265	0.0803450371506857	0.136223582668356
PROM1	671.337941380745	2.50967732359335	0.260186309415367	9.64569323125628	5.12636406965484e-22	1.33356963217855e-20
CCDC124	480.131114555433	-0.0405840481763529	0.0536400787239441	-0.756599340303295	0.449289936696158	0.567799708601988
CEACAM21	467.986656853635	-0.330858221134385	0.0985257479390378	-3.35808890625323	0.000784833655711511	0.00217579033090534
PAFAH1B1	1076.17389477399	-0.342828038772983	0.118148028506872	-2.90168226339082	0.00371164792869639	0.00895828897076153
NOS2	62.3390527910563	-1.71347386585792	0.172268164515824	-9.94654973351456	2.610782580851e-23	7.43455216763861e-22
DNAH9	586.365028470098	1.74442841029508	0.241320047496723	7.22869247039563	4.87666326369522e-13	4.88766916681587e-12
KIAA0100	567.831649412994	0.092477869327152	0.0739908923607645	1.24985476423569	0.211352606508717	0.308898620082606
SLC13A2	14.8492189560336	-1.81618605993928	0.279795420454314	-6.4911214664996	8.51997497957647e-11	6.47046308302363e-10
GAS7	1148.22545777079	0.42862072805327	0.0823799687421865	5.20297269588274	1.96125694015799e-07	9.53633066940221e-07
TRAPPC6A	1564.04546351704	-0.176171584548592	0.0542077132235195	-3.24993573925851	0.00115431088827984	0.00308588314292613
MATK	392.639298324561	0.0391313062252428	0.0928899179323747	0.421265376224479	0.673561310133403	0.773266791198882
CEACAM7	6.89428242223477	1.67070109770668	0.194495825502497	8.58990723009236	8.70395740013804e-18	1.50879380508712e-16
CD79B	604.797057287166	1.52443503075714	0.12614480138759	12.0848026552691	1.27074905945115e-33	9.33150057357591e-32
SCN4A	6.02601594980083	1.03473443905245	0.172763492593895	5.98931188248632	2.10730716421402e-09	1.32163729747545e-08
ST7L	622.588104705382	0.0559300840063824	0.0375452603520853	1.48967095931394	0.136310774068431	0.214210848253801
TKTL1	34.0551567752941	-1.35830128708519	0.181477085162562	-7.4846986101218	7.17115114442624e-14	7.91926057701825e-13
PAX6	13.2750391670017	0.274409259126379	0.0942442982509518	2.91168022065046	0.00359490459141304	0.00870468134999819
RPUSD1	281.547834027868	0.0831400787436467	0.0721142610939526	1.15289372008304	0.248954009998212	0.352527345466645
