SYMBOL	ENSEMBL	GENENAME	GENETYPE	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	AADACL2	ENSG00000197953	arylacetamide deacetylase like 2	protein-coding	9.34111751747347	1.56062359317887	0.303516264023563	5.14181208114014	2.72101206837913e-07	1.29834528266584e-06
2	AADACL2	ENSG00000261846	arylacetamide deacetylase like 2	protein-coding	9.34111751747347	1.56062359317887	0.303516264023563	5.14181208114014	2.72101206837913e-07	1.29834528266584e-06
3	ABCA13	ENSG00000179869	ATP binding cassette subfamily A member 13	protein-coding	169.177029648725	1.73528206879548	0.254840575754366	6.80928483880082	9.8085107804422e-12	8.29321591463318e-11
4	ABCB11	ENSG00000073734	ATP binding cassette subfamily B member 11	protein-coding	0.567078024967603	1.58564378075648	0.51369642985414	3.08673311435455	0.00202369200354802	0.00516925544373839
5	ABCB11	ENSG00000276582	ATP binding cassette subfamily B member 11	protein-coding	0.567078024967603	1.58564378075648	0.51369642985414	3.08673311435455	0.00202369200354802	0.00516925544373839
6	ACADL	ENSG00000115361	acyl-CoA dehydrogenase long chain	protein-coding	214.580908456868	-1.81091527359747	0.163957873485892	-11.04500342128	2.31758832331499e-28	1.06472062577515e-26
7	ACAN	ENSG00000157766	aggrecan	protein-coding	65.6458315483778	1.86533678676077	0.198038630529617	9.41905517005587	4.55165238202999e-21	1.08287525803091e-19
8	ACBD7	ENSG00000176244	acyl-CoA binding domain containing 7	protein-coding	3.51525155699346	2.04334072485193	0.618089216567467	3.30589932663692	0.00094672096123418	0.00258010510943015
9	ACKR1	ENSG00000213088	atypical chemokine receptor 1 (Duffy blood group)	protein-coding	48.0461950082485	1.84344051358308	0.195931486534719	9.4085975979998	5.02800460518976e-21	1.19164348025412e-19
10	ACTG2	ENSG00000163017	actin gamma 2, smooth muscle	protein-coding	7779.72826651321	1.87127967935024	0.172880628225947	10.8241142952383	2.6462518176271e-27	1.08717816965596e-25
11	ADAM12	ENSG00000148848	ADAM metallopeptidase domain 12	protein-coding	122.404053959456	2.12338512942554	0.161480219472174	13.1495060903818	1.71289653904798e-39	2.26588271250518e-37
12	ADAMDEC1	ENSG00000134028	ADAM like decysin 1	protein-coding	131.206532735891	1.51866410478168	0.241226649065581	6.29559010442834	3.06232611119002e-10	2.15054618320468e-09
13	ADAMTS14	ENSG00000138316	ADAM metallopeptidase with thrombospondin type 1 motif 14	protein-coding	53.2484469442427	2.70465799884375	0.295850663449727	9.14197036878825	6.13246423845877e-20	1.3102259218297e-18
14	ADAMTS16	ENSG00000145536	ADAM metallopeptidase with thrombospondin type 1 motif 16	protein-coding	74.9736890252648	2.60042481880854	0.199505070577824	13.0343795838219	7.7998887240416e-39	9.38603383747251e-37
15	ADAMTS18	ENSG00000140873	ADAM metallopeptidase with thrombospondin type 1 motif 18	protein-coding	3.8353360978687	3.7935774683601	0.402233854777756	9.43127343285448	4.05140006141003e-21	9.73797860121391e-20
16	ADCY8	ENSG00000155897	adenylate cyclase 8	protein-coding	22.032260029647	-2.33627104229087	0.199860405898676	-11.6895141475661	1.44209203560916e-31	8.51199387600698e-30
17	ADCYAP1	ENSG00000141433	adenylate cyclase activating polypeptide 1	protein-coding	118.85118910193	1.99887436931165	0.256161862314927	7.80316925887361	6.03714907830599e-15	7.55992316444414e-14
18	ADGRA1	ENSG00000197177	adhesion G protein-coupled receptor A1	protein-coding	20.6333884281903	1.62361185534077	0.226549179385515	7.16670817234742	7.68225480159902e-13	7.53361811563748e-12
19	ADGRB2	ENSG00000121753	adhesion G protein-coupled receptor B2	protein-coding	109.896986498525	1.60910732673151	0.114517515752072	14.0511896033021	7.57507906740591e-45	1.48726710279216e-42
20	ADGRF4	ENSG00000153294	adhesion G protein-coupled receptor F4	protein-coding	20.9680906879624	2.36060191522923	0.173633294297862	13.5953298863276	4.26831808487047e-42	6.47257470886211e-40
21	ADH7	ENSG00000196344	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	protein-coding	155.555153763366	2.07195374979499	0.321840127397769	6.43783535181807	1.21189354183074e-10	9.01644927890986e-10
22	ADRA1A	ENSG00000120907	adrenoceptor alpha 1A	protein-coding	137.706838856187	-2.48493240463043	0.152015509765473	-16.3465715338135	4.60152423044452e-60	4.08702999744053e-57
23	ADRB1	ENSG00000043591	adrenoceptor beta 1	protein-coding	401.716315054672	-1.56047151928484	0.141375615905968	-11.0377699102139	2.51190120176542e-28	1.15115432961495e-26
