ENSEMBL,PROBEID_GSE72073,SYMBOL_GSE72073,logFC_GSE72073,P_Value_GSE72073,adj_P_Val_GSE72073,PROBEID_GSE32537,SYMBOL_GSE32537,logFC_GSE32537,P_Value_GSE32537,adj_P_Val_GSE32537,PROBEID_GSE21369,SYMBOL_GSE21369,logFC_GSE21369,P_Value_GSE21369,adj_P_Val_GSE21369,PROBEID_GSE24206,SYMBOL_GSE24206,logFC_GSE24206,P_Value_GSE24206,adj_P_Val_GSE24206,PROBEID_GSE110147,SYMBOL_GSE110147,logFC_GSE110147,P_Value_GSE110147,adj_P_Val_GSE110147,PROBEID_GSE15197,SYMBOL_GSE15197,logFC_GSE15197,P_Value_GSE15197,adj_P_Val_GSE15197,PROBEID_GSE53845,SYMBOL_GSE53845,logFC_GSE53845,P_Value_GSE53845,adj_P_Val_GSE53845,PROBEID_GSE35145,SYMBOL_GSE35145,logFC_GSE35145,P_Value_GSE35145,adj_P_Val_GSE35145,PROBEID_GSE48149,SYMBOL_GSE48149,logFC_GSE48149,P_Value_GSE48149,adj_P_Val_GSE48149,SYMBOL_GSE52463,logFC_GSE52463,P_Value_GSE52463,adj_P_Val_GSE52463,SYMBOL_GSE150910,logFC_GSE150910,P_Value_GSE150910,adj_P_Val_GSE150910,Congruency,mean_logfc
ENSG00000115590,NA,NA,NA,NA,NA,8043981,IL1R2,-2.927227791,4.95E-35,7.87E-32,211372_s_at,IL1R2,-2.248697697,0.001083148,0.041305976,211372_s_at,IL1R2,-4.973117685,6.99E-08,3.83E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A_23_P79398,IL1R2,-1.835015384,8.70E-11,2.57E-08,ILMN_1772131,IL1R2,-5.476835226,3.11E-08,0.000417302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-3.492178757
ENSG00000115590,NA,NA,NA,NA,NA,8043981,IL1R2,-2.927227791,4.95E-35,7.87E-32,211372_s_at,IL1R2,-2.248697697,0.001083148,0.041305976,205403_at,IL1R2,-4.772193612,1.21E-07,5.90E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A_23_P79398,IL1R2,-1.835015384,8.70E-11,2.57E-08,ILMN_1772131,IL1R2,-5.476835226,3.11E-08,0.000417302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-3.451993942
ENSG00000115590,NA,NA,NA,NA,NA,8043981,IL1R2,-2.927227791,4.95E-35,7.87E-32,211372_s_at,IL1R2,-2.248697697,0.001083148,0.041305976,211372_s_at,IL1R2,-4.973117685,6.99E-08,3.83E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A_24_P63019,IL1R2,-1.431393988,7.78E-10,1.51E-07,ILMN_1772131,IL1R2,-5.476835226,3.11E-08,0.000417302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-3.411454477
ENSG00000115590,NA,NA,NA,NA,NA,8043981,IL1R2,-2.927227791,4.95E-35,7.87E-32,211372_s_at,IL1R2,-2.248697697,0.001083148,0.041305976,205403_at,IL1R2,-4.772193612,1.21E-07,5.90E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A_24_P63019,IL1R2,-1.431393988,7.78E-10,1.51E-07,ILMN_1772131,IL1R2,-5.476835226,3.11E-08,0.000417302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-3.371269663
ENSG00000163221,NA,NA,NA,NA,NA,7920238,S100A12,-2.485757547,5.59E-34,6.84E-31,205863_at,S100A12,-2.532549848,0.00134836,0.045497289,205863_at,S100A12,-4.347898346,4.04E-06,0.000565957,7920238,S100A12,-2.782475655,5.91E-11,3.66E-10,NA,NA,NA,NA,NA,A_23_P74001,S100A12,-1.330629918,1.71E-06,6.87E-05,ILMN_1748915,S100A12,-5.023854918,6.72E-06,0.005463663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-3.083861039
ENSG00000142748,NA,NA,NA,NA,NA,7914075,FCN3,-2.700754878,8.77E-25,2.03E-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7914075,FCN3,-4.37847517,1.10E-15,2.28E-14,A_23_P115246,FCN3,-2.918348934,8.59E-05,0.009129532,A_23_P115246,FCN3,-2.893630526,1.94E-10,5.00E-08,NA,NA,NA,NA,NA,ILMN_6723,FCN3,-1.709762325,0.005292165,0.040308158,FCN3,-2.857151666,3.36E-07,5.76E-05,FCN3,-2.221586681,2.49E-27,1.03E-25,TRUE,-2.811387169
ENSG00000115602,NA,NA,NA,NA,NA,8044021,IL1RL1,-1.850496696,2.17E-21,2.45E-19,207526_s_at,IL1RL1,-4.237616237,0.000700405,0.034814549,207526_s_at,IL1RL1,-3.939843402,6.15E-05,0.002893482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A_23_P51126,IL1RL1,-2.021205067,5.16E-11,1.76E-08,NA,NA,NA,NA,NA,ILMN_30234,IL1RL1,-2.259763417,0.000288582,0.007050758,NA,NA,NA,NA,IL1RL1,-1.954160799,8.06E-17,1.26E-15,TRUE,-2.71051427
ENSG00000205364,NA,NA,NA,NA,NA,7995787,MT1M,-2.145335113,1.55E-20,1.45E-18,217546_at,MT1M,-2.806446703,5.65E-06,0.006635416,217546_at,MT1M,-3.060510406,0.001273235,0.019424084,7995787,MT1M,-1.879024592,1.06E-10,6.32E-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILMN_1657435,MT1M,-3.458027553,5.72E-05,0.014270661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-2.669868873
ENSG00000108576,NA,NA,NA,NA,NA,8013989,SLC6A4,-2.12057001,1.56E-10,2.01E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8013989,SLC6A4,-3.567597589,1.91E-09,8.89E-09,A_23_P152995,SLC6A4,-3.193005515,0.000184624,0.012415772,A_23_P152995,SLC6A4,-1.805226041,3.68E-06,0.00012625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SLC6A4,-2.670888908,7.19E-05,0.003585848,SLC6A4,-2.63781308,1.22E-20,2.79E-19,TRUE,-2.665850191
ENSG00000108576,NA,NA,NA,NA,NA,8013989,SLC6A4,-2.12057001,1.56E-10,2.01E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8013989,SLC6A4,-3.567597589,1.91E-09,8.89E-09,A_23_P152995,SLC6A4,-3.192800362,0.000174966,0.012016269,A_23_P152995,SLC6A4,-1.805226041,3.68E-06,0.00012625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SLC6A4,-2.670888908,7.19E-05,0.003585848,SLC6A4,-2.63781308,1.22E-20,2.79E-19,TRUE,-2.665815998
